loc,dow,hr,traffic
AE,0,0,0.27083370063694273
AE,0,1,0.2398696751592356
AE,0,2,0.23348310191082797
AE,0,3,0.25106143949044607
AE,0,4,0.28463403821656064
AE,0,5,0.33486294904458597
AE,0,6,0.39350924840764356
AE,0,7,0.45688097452229304
AE,0,8,0.5047946624203823
AE,0,9,0.5610965796178341
AE,0,10,0.613176560509554
AE,0,11,0.621935770700637
AE,0,12,0.5990861528662421
AE,0,13,0.606428789808917
AE,0,14,0.6211237070063694
AE,0,15,0.648786433121019
AE,0,16,0.6892167006369423
AE,0,17,0.7122001401273883
AE,0,18,0.6945938917197448
AE,0,19,0.6563454713375798
AE,0,20,0.5864771019108281
AE,0,21,0.4779810254777073
AE,0,22,0.36665468789808914
AE,0,23,0.28900928662420383
AE,1,0,0.24169501273885355
AE,1,1,0.22361520382165614
AE,1,2,0.2313269426751593
AE,1,3,0.2513377515923568
AE,1,4,0.286269515923567
AE,1,5,0.32675364331210177
AE,1,6,0.3631451082802547
AE,1,7,0.3991282292993629
AE,1,8,0.42249216560509545
AE,1,9,0.45307929299363037
AE,1,10,0.48031748407643304
AE,1,11,0.49338719745222953
AE,1,12,0.4956189681528663
AE,1,13,0.4942842866242039
AE,1,14,0.5035097961783442
AE,1,15,0.5493419171974523
AE,1,16,0.6043071974522294
AE,1,17,0.6533140828025473
AE,1,18,0.6594473949044586
AE,1,19,0.6187578343949044
AE,1,20,0.5387458471337581
AE,1,21,0.439449280254777
AE,1,22,0.3444006305732486
AE,1,23,0.2762003184713375
AE,2,0,0.23134024840764336
AE,2,1,0.21828694904458598
AE,2,2,0.22772798726114665
AE,2,3,0.24895829936305722
AE,2,4,0.2863521592356687
AE,2,5,0.32540661146496824
AE,2,6,0.3632807898089172
AE,2,7,0.39715745512820533
AE,2,8,0.4365914551282049
AE,2,9,0.4702771794871796
AE,2,10,0.4965087628205127
AE,2,11,0.5045107564102566
AE,2,12,0.5101255833333332
AE,2,13,0.5060213461538462
AE,2,14,0.5169342243589744
AE,2,15,0.5600606474358975
AE,2,16,0.6213939102564106
AE,2,17,0.6647978461538461
AE,2,18,0.6720478910256409
AE,2,19,0.6465379102564106
AE,2,20,0.5758971474358975
AE,2,21,0.45458046794871787
AE,2,22,0.34695424999999996
AE,2,23,0.27536455769230794
AE,3,0,0.23454970512820522
AE,3,1,0.22283157692307695
AE,3,2,0.23136031410256414
AE,3,3,0.25434172435897434
AE,3,4,0.29153846794871785
AE,3,5,0.3306464102564103
AE,3,6,0.3638709487179486
AE,3,7,0.3961554038461539
AE,3,8,0.42520277564102554
AE,3,9,0.45842154487179443
AE,3,10,0.48149571153846144
AE,3,11,0.4961148397435896
AE,3,12,0.5054550320512821
AE,3,13,0.5024443525641026
AE,3,14,0.5141415705128205
AE,3,15,0.5539169487179486
AE,3,16,0.6062977756410257
AE,3,17,0.6521594038461538
AE,3,18,0.6616316346153847
AE,3,19,0.6375525769230768
AE,3,20,0.5705125641025638
AE,3,21,0.4592380769230768
AE,3,22,0.3513280833333333
AE,3,23,0.27932577564102573
AE,4,0,0.2346613717948719
AE,4,1,0.2204267243589743
AE,4,2,0.2294792051282051
AE,4,3,0.2515289230769232
AE,4,4,0.2897641153846153
AE,4,5,0.33020863461538463
AE,4,6,0.3645447435897437
AE,4,7,0.3996183141025642
AE,4,8,0.43122951282051286
AE,4,9,0.46130041025641016
AE,4,10,0.48934412820512807
AE,4,11,0.5044055256410257
AE,4,12,0.5038461794871796
AE,4,13,0.5015680192307694
AE,4,14,0.5089314807692309
AE,4,15,0.5554211987179485
AE,4,16,0.6036134999999998
AE,4,17,0.6520744230769231
AE,4,18,0.662413096153846
AE,4,19,0.6338485897435903
AE,4,20,0.5623067564102566
AE,4,21,0.4645203269230774
AE,4,22,0.36865550641025646
AE,4,23,0.29632189102564105
AE,5,0,0.2491787564102563
AE,5,1,0.23099767948717956
AE,5,2,0.23816747435897442
AE,5,3,0.26103922435897436
AE,5,4,0.300042532051282
AE,5,5,0.34221778205128217
AE,5,6,0.38851808974358987
AE,5,7,0.4323833782051283
AE,5,8,0.45558360509554147
AE,5,9,0.4807519745222932
AE,5,10,0.559741687898089
AE,5,11,0.5581417006369428
AE,5,12,0.5293931146496814
AE,5,13,0.5170517452229302
AE,5,14,0.5216206114649682
AE,5,15,0.5606622356687898
AE,5,16,0.6056252420382167
AE,5,17,0.6479246369426755
AE,5,18,0.6737550063694266
AE,5,19,0.6620952229299365
AE,5,20,0.5920596050955409
AE,5,21,0.493184121019108
AE,5,22,0.39490246496815296
AE,5,23,0.31425549044586
AE,6,0,0.25995526114649686
AE,6,1,0.23366457961783438
AE,6,2,0.23009143949044594
AE,6,3,0.24502134394904457
AE,6,4,0.2787706178343948
AE,6,5,0.3287969617834395
AE,6,6,0.3846102993630573
AE,6,7,0.43805508280254785
AE,6,8,0.4793962038216562
AE,6,9,0.5212180955414014
AE,6,10,0.5590188662420382
AE,6,11,0.5673600254777069
AE,6,12,0.5639139936305734
AE,6,13,0.5633349108280259
AE,6,14,0.5715482038216558
AE,6,15,0.6009953566878978
AE,6,16,0.6382252292993632
AE,6,17,0.6768971019108284
AE,6,18,0.7011488980891722
