loc,mean,std,min,max,count
NG,0.35862162221039423,0.15516881171754401,0.0,1.0,26303
IT,0.3701092814127666,0.18558114436432857,0.0,1.0,26303
ES,0.40397294080523133,0.19102693563596973,0.0,1.0,26303
AE,0.4531897175607345,0.19393681017176403,0.0,1.0,26303
GB,0.4704314648138996,0.1883428980893338,0.0,1.0,26303
AU,0.47105565984868647,0.24293454033861797,0.0,1.0,26303
BR,0.4834243420902558,0.22224996520834467,0.0,1.0,26303
MX,0.5100172094818082,0.22415201531919976,0.0,1.0,26303
ZA,0.5104744231456487,0.2125419803447891,0.0,1.0,26303
CA,0.5321291880774056,0.1906119732175358,0.0,1.0,26303
JP,0.5509765021860624,0.16755187011753256,0.0,1.0,26303
FR,0.5516150689274988,0.19848856939577317,0.0,1.0,26303
VN,0.5770544030718929,0.2101449605039916,0.0,1.0,26303
KR,0.5894243369577614,0.18311473861798683,0.0,1.0,26303
IN,0.5950373413679049,0.23468249321649443,0.0,1.0,26303
DE,0.6099579064745466,0.19008560499184177,0.0,1.0,26303
ID,0.6362582903471087,0.17618529898734608,0.0,1.0,26303
US,0.6375043049462038,0.15214387009023328,0.0,1.0,26303
SG,0.6479792574991445,0.18671284797403168,0.0,1.0,26303
NL,0.6621247586967266,0.15741400673338216,0.0,1.0,26303
