loc,mon,mean_target,sd_target,n
AE,1,0.48797647939068073,0.1854746684862462,2232
AE,2,0.4508745720588241,0.20231875524326123,2040
AE,3,0.5109233288530458,0.16120289647582828,2232
AE,4,0.5035370810185187,0.18390612696035347,2160
AE,5,0.41427641756272354,0.18867431125141984,2232
AE,6,0.3545164870370372,0.1578755454969017,2160
AE,7,0.42604755331541233,0.1864778644079759,2232
AE,8,0.5337191393369175,0.19154948765584862,2232
AE,9,0.49151403612783784,0.19364411095185216,2159
AE,10,0.4060603651433693,0.1948977709992101,2232
AE,11,0.38470691342592567,0.18474551563214364,2160
AE,12,0.4714105022401442,0.2018184039834384,2232
AU,1,0.49521777374551906,0.25434302704376627,2232
AU,2,0.4468678598039221,0.2505075208954394,2040
AU,3,0.4596825232974914,0.24668979416611553,2232
AU,4,0.46383154722222125,0.20422827074246197,2160
AU,5,0.36038271057347737,0.2132641227050618,2232
AU,6,0.3665248166666667,0.2229660048095545,2160
AU,7,0.44975725896057306,0.24585843204082622,2232
AU,8,0.6069166209677426,0.21447410234215536,2232
AU,9,0.5894983816581743,0.20683354273634894,2159
AU,10,0.5078152719534047,0.227272662722441,2232
AU,11,0.45661488703703706,0.26400490785261,2160
AU,12,0.44728056406809974,0.23074683375749558,2232
BR,1,0.5198999717741936,0.22655861981407732,2232
BR,2,0.5075638553921563,0.22459860460418987,2040
BR,3,0.4834778073476712,0.22313116483151582,2232
BR,4,0.48485333009259207,0.22440774697600263,2160
BR,5,0.46932068503584284,0.2252128331589277,2232
BR,6,0.4704358199074068,0.22359011503857415,2160
BR,7,0.466738418458782,0.21811992679987105,2232
BR,8,0.4599548812724013,0.21906584476587987,2232
BR,9,0.4796523631310795,0.2222693684820607,2159
BR,10,0.4848548920250906,0.21619334262860063,2232
BR,11,0.4686432115740741,0.22345798515422705,2160
BR,12,0.5068003207885305,0.21221385518817817,2232
CA,1,0.572858021953405,0.19596286194008078,2232
CA,2,0.480770665686274,0.17412180817373796,2040
CA,3,0.552731690860216,0.182010122282556,2232
CA,4,0.5523409763888893,0.179643559029866,2160
CA,5,0.4951216370967743,0.17002278091845846,2232
CA,6,0.5114738921296291,0.1695615064004698,2160
CA,7,0.5402091285842292,0.18770577592721657,2232
CA,8,0.554989796594982,0.19818835429801904,2232
CA,9,0.5639360342751274,0.19446035238256026,2159
CA,10,0.5153057804659504,0.1813398562991893,2232
CA,11,0.47349544583333375,0.21998074042796484,2160
CA,12,0.5670338095878124,0.19304187816413962,2232
DE,1,0.630628302419355,0.19293315536510386,2232
DE,2,0.6397680367647063,0.19409591749542668,2040
DE,3,0.6238275165770618,0.18585566176518875,2232
DE,4,0.6307372541666657,0.18131499213730118,2160
DE,5,0.6008496205197129,0.18463377452085494,2232
DE,6,0.5754928023148147,0.17107426229123518,2160
DE,7,0.6147390138888883,0.17746148773862563,2232
DE,8,0.6529138189964162,0.17072663275482408,2232
DE,9,0.6227455433070863,0.1831702414639581,2159
DE,10,0.5950486496415773,0.19000291318921897,2232
DE,11,0.5203514490740743,0.20911426591046775,2160
DE,12,0.6120434090501791,0.2023181591246151,2232
ES,1,0.3561769471326163,0.17299534287912832,2232
ES,2,0.3714700029411758,0.1794375708474239,2040
ES,3,0.3746076957885306,0.17643080577059056,2232
