loc,MAE,mean_target,n,MAE_rel
US,0.0198,0.679,3991,0.0291
DE,0.0191,0.611,3991,0.0313
NL,0.021,0.6522,3991,0.0323
SG,0.0243,0.7294,3991,0.0333
BR,0.0175,0.5006,3991,0.035
KR,0.0222,0.6281,3991,0.0353
CA,0.0209,0.5765,3991,0.0362
FR,0.0213,0.5863,3991,0.0363
IN,0.0223,0.6042,3991,0.037
MX,0.0222,0.5971,3991,0.0372
ID,0.0247,0.6615,3991,0.0374
JP,0.0215,0.5657,3991,0.038
AU,0.0231,0.5925,3991,0.039
ZA,0.021,0.5283,3991,0.0397
GB,0.02,0.4954,3991,0.0404
VN,0.0235,0.5618,3991,0.0419
ES,0.024,0.4943,3991,0.0486
AE,0.0236,0.4492,3991,0.0526
IT,0.0222,0.4147,3991,0.0535
NG,0.0271,0.4062,3991,0.0667
