model,h,seed,MAE,RMSE,sMAPE,MASE
Persistence,1,0,0.05208152852668504,0.06907864443671571,10.66706296982421,0.6676736880289618
SeasonalNaive,1,0,0.07016004953645702,0.09320134335418727,13.834894969251426,0.8994363328315031
Ridge,1,0,0.030978196858397974,0.046111474446806834,5.698943537264523,0.3971336389318191
RandomForest,1,0,0.022604029495810866,0.03574924162351974,4.148053400311406,0.28977866365904986
LightGBM_global,1,0,0.02207326343688258,0.03411325786322887,4.129881683555962,0.28297436005909554
LTSF_Linear,1,0,0.03258919491087121,0.047663401014636106,6.100745605953931,0.41778627800617274
RandomForest,1,1,0.022617584637059686,0.035764455484722714,4.150876096918005,0.2899524375747812
LightGBM_global,1,1,0.022212543016820123,0.03421142132086478,4.158827964129513,0.28475989349935116
RandomForest,1,2,0.02261170018477207,0.03575308054437855,4.149598776103054,0.2898770001966541
LightGBM_global,1,2,0.022126497811681238,0.03417690761603184,4.141989958723589,0.28365681298160383
RandomForest,1,3,0.02261851489606451,0.03577813427499142,4.15054905151641,0.28996436328967745
LightGBM_global,1,3,0.02200757248163476,0.03400902144309764,4.122186451657546,0.28213221652757486
RandomForest,1,4,0.022616169002814247,0.035768683805603975,4.149258482445025,0.2899342894565463
LightGBM_global,1,4,0.022049441746847462,0.03403559024792817,4.126637795608032,0.28266897125637097
Persistence,24,0,0.03822830017539464,0.06030452336128274,7.063030939971249,0.6108020728363642
SeasonalNaive,24,0,0.052989517201202714,0.07672940843266925,9.847413078441678,0.8466530501381015
Ridge,24,0,0.038811558065167805,0.05704843215547594,7.353045307262426,0.6201212192916626
RandomForest,24,0,0.033037319641943404,0.050664211531243605,6.1190088529996025,0.5278619040258764
LightGBM_global,24,0,0.0337439497070815,0.051035545803621817,6.288772761670752,0.5391522597710855
LTSF_Linear,24,0,0.03784307368085344,0.056788962699411374,7.092041262670043,0.6046470217276911
RandomForest,24,1,0.033035103823685075,0.050653674135362314,6.1207306733353395,0.5278265002444107
LightGBM_global,24,1,0.03350538386303879,0.05086573559205998,6.243818821459264,0.5353405152943318
RandomForest,24,2,0.033043648468061466,0.05067736150510603,6.120337937354001,0.5279630244025031
LightGBM_global,24,2,0.0336878084863652,0.050962352175699714,6.273714181706307,0.5382552496024997
RandomForest,24,3,0.033039856574514324,0.05068496135965967,6.120697717841868,0.5279024384902877
LightGBM_global,24,3,0.033596261674733174,0.0508556294694867,6.272537274841452,0.536792537892854
RandomForest,24,4,0.03304460917954114,0.05064740468021424,6.121407648470802,0.5279783744065706
LightGBM_global,24,4,0.03366960774399932,0.050978800898803,6.280043480508854,0.5379644427627177
