,,MAE,MAE,RMSE,RMSE,sMAPE,sMAPE,MASE,MASE
,,mean,std,mean,std,mean,std,mean,std
model,h,,,,,,,,
LTSF_Linear,1,0.0326,,0.0477,,6.1007,,0.4178,
LTSF_Linear,24,0.0378,,0.0568,,7.092,,0.6046,
LightGBM_global,1,0.0221,0.0001,0.0341,0.0001,4.1359,0.0148,0.2832,0.001
LightGBM_global,24,0.0336,0.0001,0.0509,0.0001,6.2718,0.0169,0.5375,0.0015
Persistence,1,0.0521,,0.0691,,10.6671,,0.6677,
Persistence,24,0.0382,,0.0603,,7.063,,0.6108,
RandomForest,1,0.0226,0.0,0.0358,0.0,4.1497,0.0011,0.2899,0.0001
RandomForest,24,0.033,0.0,0.0507,0.0,6.1204,0.0009,0.5279,0.0001
Ridge,1,0.031,,0.0461,,5.6989,,0.3971,
Ridge,24,0.0388,,0.057,,7.353,,0.6201,
SeasonalNaive,1,0.0702,,0.0932,,13.8349,,0.8994,
SeasonalNaive,24,0.053,,0.0767,,9.8474,,0.8467,
