feature,mean_abs_shap,share
traffic,0.1451841165776181,0.645
y_diff1,0.031978243344914364,0.142
y_ma_season,0.010518558385437362,0.047
y_lag168,0.007462186113465336,0.033
hr,0.00726975560771727,0.032
y_lag1,0.005197772359851257,0.023
y_lag2,0.00468216910110886,0.021
y_lag3,0.003913616295353994,0.017
unit_code,0.0034330269475085946,0.015
y_lag336,0.001700832168991941,0.008
y_sd_season,0.0015055049447385129,0.007
dow,0.0010725502449007835,0.005
doy,0.0007567840233881424,0.003
y_lag1176,0.00048227628694749665,0.002
mon,0.00010451617664076738,0.0
cloud_inc_lag_season,3.379800480349692e-07,0.0
cloud_inc,0.0,0.0
