loc,mean,median,p05,p95,n
NL,0.662,0.689,0.41,0.889,26303.0
SG,0.648,0.687,0.295,0.901,26303.0
US,0.638,0.645,0.395,0.869,26303.0
ID,0.636,0.666,0.321,0.889,26303.0
DE,0.61,0.642,0.303,0.883,26303.0
IN,0.595,0.674,0.182,0.889,26303.0
KR,0.589,0.611,0.282,0.872,26303.0
VN,0.577,0.617,0.221,0.883,26303.0
FR,0.552,0.572,0.238,0.857,26303.0
JP,0.551,0.545,0.29,0.854,26303.0
CA,0.532,0.527,0.254,0.85,26303.0
ZA,0.51,0.526,0.182,0.838,26303.0
MX,0.51,0.532,0.151,0.852,26303.0
BR,0.483,0.499,0.144,0.844,26303.0
AU,0.471,0.438,0.115,0.852,26303.0
GB,0.47,0.456,0.193,0.802,26303.0
AE,0.453,0.43,0.173,0.799,26303.0
ES,0.404,0.399,0.125,0.727,26303.0
IT,0.37,0.358,0.104,0.696,26303.0
NG,0.359,0.356,0.132,0.624,26303.0
